Asset,Date,Count visitation
Baldivis,13/12/2021,14544
Baldivis,14/12/2021,14228
Baldivis,15/12/2021,14952
Baldivis,16/12/2021,15005
Baldivis,17/12/2021,15082
Baldivis,18/12/2021,13975
Baldivis,19/12/2021,10194
Baldivis,20/12/2021,15912
Baldivis,21/12/2021,15844
Baldivis,22/12/2021,17383
Baldivis,23/12/2021,21244
Baldivis,24/12/2021,19556
Baldivis,25/12/2021,
Baldivis,26/12/2021,7360
Baldivis,27/12/2021,9463
Baldivis,28/12/2021,10323
Baldivis,29/12/2021,13913
Baldivis,30/12/2021,14673
Baldivis,31/12/2021,14955
Baldivis,1/01/2022,7199
Baldivis,2/01/2022,7745
Baldivis,3/01/2022,10236
Baldivis,4/01/2022,14218
Baldivis,5/01/2022,13168
Baldivis,6/01/2022,14066
Baldivis,7/01/2022,13509
Baldivis,8/01/2022,11375
Baldivis,9/01/2022,7733
Baldivis,10/01/2022,12761
Baldivis,11/01/2022,12247
Baldivis,12/01/2022,12979
Baldivis,13/01/2022,13682
Baldivis,14/01/2022,13586
Baldivis,15/01/2022,11628
Baldivis,16/01/2022,7464
Baldivis,17/01/2022,11809
Baldivis,18/01/2022,11970
Baldivis,19/01/2022,12205
Baldivis,20/01/2022,13351
Baldivis,21/01/2022,12709
Baldivis,22/01/2022,12016
Baldivis,23/01/2022,7485
Baldivis,24/01/2022,12012
Baldivis,25/01/2022,13392
Baldivis,26/01/2022,7906
Baldivis,27/01/2022,12652
Baldivis,28/01/2022,11714
Baldivis,29/01/2022,10817
Baldivis,30/01/2022,7847
Baldivis,31/01/2022,10668
Baldivis,1/02/2022,10013
Baldivis,2/02/2022,10412
Baldivis,3/02/2022,11025
Baldivis,4/02/2022,11006
Baldivis,5/02/2022,10208
Baldivis,6/02/2022,7881
Baldivis,7/02/2022,10126
Baldivis,8/02/2022,9770
Baldivis,9/02/2022,9540
Baldivis,10/02/2022,11213
Baldivis,11/02/2022,10779
Baldivis,12/02/2022,10091
Baldivis,13/02/2022,6909
Baldivis,14/02/2022,11000
Baldivis,15/02/2022,9793
Baldivis,16/02/2022,10515
Baldivis,17/02/2022,11175
Baldivis,18/02/2022,10888
Baldivis,19/02/2022,10184
Baldivis,20/02/2022,6746
Baldivis,21/02/2022,10175
Baldivis,22/02/2022,9922
Baldivis,23/02/2022,10156
Baldivis,24/02/2022,11266
Baldivis,25/02/2022,10677
Baldivis,26/02/2022,10270
Baldivis,27/02/2022,6872
Baldivis,28/02/2022,9901
Baldivis,1/03/2022,9387
Baldivis,2/03/2022,9909
Baldivis,3/03/2022,10796
Baldivis,4/03/2022,10660
Baldivis,5/03/2022,10177
Baldivis,6/03/2022,6019
Baldivis,7/03/2022,7808
Baldivis,8/03/2022,10657
Baldivis,9/03/2022,10139
Baldivis,10/03/2022,11087
Baldivis,11/03/2022,10202
Baldivis,12/03/2022,9670
Baldivis,13/03/2022,6735
Baldivis,14/03/2022,9754
Baldivis,15/03/2022,9538
Baldivis,16/03/2022,9631
Baldivis,17/03/2022,10492
Baldivis,18/03/2022,10534
Baldivis,19/03/2022,10339
Baldivis,20/03/2022,6680
Baldivis,21/03/2022,9805
Baldivis,22/03/2022,9676
Baldivis,23/03/2022,9579
Baldivis,24/03/2022,10161
Baldivis,25/03/2022,10404
Baldivis,26/03/2022,10083
Baldivis,27/03/2022,6526
Baldivis,28/03/2022,9813
Baldivis,29/03/2022,9680
Baldivis,30/03/2022,9735
Baldivis,31/03/2022,11656
Baldivis,1/04/2022,11721
Baldivis,2/04/2022,10487
Baldivis,3/04/2022,7584
Baldivis,4/04/2022,10972
Baldivis,5/04/2022,11076
Baldivis,6/04/2022,11682
Baldivis,7/04/2022,12689
Baldivis,8/04/2022,12428
Baldivis,9/04/2022,11525
Baldivis,10/04/2022,7748
Baldivis,11/04/2022,11897
Baldivis,12/04/2022,12028
Baldivis,13/04/2022,12992
Baldivis,14/04/2022,16741
Baldivis,15/04/2022,15
Baldivis,16/04/2022,13771
Baldivis,17/04/2022,5640
Baldivis,18/04/2022,8358
Baldivis,19/04/2022,12072
Baldivis,20/04/2022,12040
Baldivis,21/04/2022,13271
Baldivis,22/04/2022,13532
Baldivis,23/04/2022,11359
Baldivis,24/04/2022,7618
Baldivis,25/04/2022,220
Baldivis,26/04/2022,13759
Baldivis,27/04/2022,12082
Baldivis,28/04/2022,12677
Baldivis,29/04/2022,12687
Baldivis,30/04/2022,12136
Baldivis,1/05/2022,8208
Baldivis,2/05/2022,11412
Baldivis,3/05/2022,11249
Baldivis,4/05/2022,11495
Baldivis,5/05/2022,12739
Baldivis,6/05/2022,12404
Baldivis,7/05/2022,13730
Baldivis,8/05/2022,7405
Baldivis,9/05/2022,10875
Baldivis,10/05/2022,10781
Baldivis,11/05/2022,10752
